Date,Open,High,Low,Close,Adj Close,Volume,Mean,Max,Min
2022-01-28,295.6199951171875,301.8999938964844,293.0299987792969,301.7099914550781,301.7099914550781,21871600,0.0675,0.3612,0.0
2022-01-31,300.67999267578125,313.7900085449219,299.32000732421875,313.260009765625,313.260009765625,21579500,0.0659,0.8176,-0.4215
2022-02-01,314.5599975585937,319.6600036621094,312.1199951171875,319.0,319.0,18023800,0.0022,0.4019,-0.3818
2022-02-02,327.82000732421875,328.0,316.8699951171875,323.0,323.0,58458300,0.03,0.6249,-0.4019
2022-02-03,244.6499938964844,248.0,235.75,237.75999450683597,237.75999450683597,188119900,-0.1685,0.4767,-0.7351
2022-02-04,234.97000122070312,242.6100006103516,230.1100006103516,237.08999633789065,237.08999633789065,89342200,-0.2957,0.8271,-0.7269
2022-02-07,237.6999969482422,238.3000030517578,224.00999450683597,224.91000366210935,224.91000366210935,88613800,0.052,0.5719,-0.0516
2022-02-08,220.8500061035156,225.7700042724609,216.1499938964844,220.17999267578125,220.17999267578125,94729700,-0.017,0.4019,-0.5719
2022-02-09,224.1999969482422,233.3699951171875,222.2100067138672,232.0,232.0,86563300,0.1102,0.5256,-0.4767
2022-02-10,228.2700042724609,235.0,226.6999969482422,228.07000732421875,228.07000732421875,49310400,0.1179,0.7579,-0.34
2022-02-11,228.4600067138672,230.4199981689453,218.7700042724609,219.5500030517578,219.5500030517578,46156900,-0.0531,0.5719,-0.6222
2022-02-14,219.30999755859372,221.0,214.77999877929688,217.6999969482422,217.6999969482422,38184000,-0.0218,0.6369,-0.4588
2022-02-15,220.47000122070312,221.1499938964844,215.05999755859372,221.0,221.0,42685500,-0.0994,0.4019,-0.4588
2022-02-16,212.41000366210935,217.4600067138672,212.3600006103516,216.5399932861328,216.5399932861328,45817500,0.1285,0.4449,-0.3182
2022-02-17,214.0200042724609,217.5,207.16000366210935,207.7100067138672,207.7100067138672,38747500,0.2693,0.6249,-0.2732
2022-02-18,209.38999938964844,210.75,205.17999267578125,206.16000366210935,206.16000366210935,37128400,-0.0033,0.6361,-0.6124
2022-02-22,202.33999633789065,207.47999572753903,200.05999755859372,202.0800018310547,202.0800018310547,39852400,0.0448,0.4404,-0.2732
2022-02-23,204.16000366210935,206.94000244140625,198.0500030517578,198.4499969482422,198.4499969482422,44481400,0.055,0.4404,0.0
2022-02-24,191.05999755859372,208.3500061035156,190.22000122070312,207.6000061035156,207.6000061035156,49957200,0.1128,0.4939,-0.2263
2022-02-25,204.94000244140625,211.32000732421875,203.17999267578125,210.47999572753903,210.47999572753903,37627600,0.0351,0.5859,-0.34
2022-02-28,207.67999267578125,213.1499938964844,206.8300018310547,211.02999877929688,211.02999877929688,34239800,-0.0882,0.4019,-0.4767
2022-03-01,209.8699951171875,211.75,202.22000122070312,203.4900054931641,203.4900054931641,27094900,-0.0592,0.2263,-0.3182
2022-03-02,204.77999877929688,209.1499938964844,202.0200042724609,208.1100006103516,208.1100006103516,29452100,-0.0444,0.296,-0.296
2022-03-03,209.0200042724609,209.0800018310547,201.4199981689453,202.97000122070312,202.97000122070312,27263500,0.2095,0.8176,-0.3597
2022-03-04,202.3699951171875,205.88999938964844,198.7899932861328,200.05999755859372,200.05999755859372,32130900,0.0712,0.4215,-0.2732
2022-03-07,200.7899932861328,200.88999938964844,187.27999877929688,187.47000122070312,187.47000122070312,38560600,0.3096,0.6808,0.0
2022-03-08,187.8500061035156,196.6999969482422,186.1100006103516,190.2899932861328,190.2899932861328,37508100,0.2025,0.5719,0.0
2022-03-09,195.7400054931641,199.1000061035156,193.9199981689453,198.5,198.5,31894700,-0.0167,0.6808,-0.7269
2022-03-10,194.83999633789065,196.27999877929688,191.07000732421875,195.2100067138672,195.2100067138672,24853000,-0.0001,0.4404,-0.4939
2022-03-11,192.63999938964844,193.55999755859372,186.6699981689453,187.6100006103516,187.6100006103516,34694500,-0.215,0.1779,-0.8271
2022-03-14,187.02999877929688,192.2899932861328,185.82000732421875,186.6300048828125,186.6300048828125,31010500,0.0475,0.6182,-0.7579
2022-03-15,190.8000030517578,192.27999877929688,185.91000366210935,192.02999877929688,192.02999877929688,31721700,0.0108,0.5267,-0.5994
2022-03-16,194.6999969482422,203.72999572753903,194.5200042724609,203.6300048828125,203.6300048828125,40640300,-0.1157,0.0,-0.5994
2022-03-17,201.6999969482422,208.0399932861328,201.1100006103516,207.83999633789065,207.83999633789065,29499700,-0.1965,0.4215,-0.6597
2022-03-18,206.6999969482422,216.8000030517578,206.0,216.4900054931641,216.4900054931641,52128000,-0.402,0.0,-0.7506
2022-03-21,214.5,214.7100067138672,207.6300048828125,211.4900054931641,211.4900054931641,30142300,0.0705,0.7184,-0.4588
2022-03-22,211.3699951171875,219.4600067138672,210.17999267578125,216.6499938964844,216.6499938964844,31998800,-0.0493,0.0,-0.296
2022-03-23,213.3300018310547,216.8000030517578,212.16000366210935,213.4600067138672,213.4600067138672,23717300,0.0618,0.4404,-0.296
2022-03-24,215.0,220.6699981689453,214.7899932861328,219.57000732421875,219.57000732421875,31502300,0.0,0.0,0.0
2022-03-25,220.50999450683597,225.5,218.88999938964844,221.82000732421875,221.82000732421875,40039000,0.243,0.7184,-0.4019
2022-03-28,222.1300048828125,224.0399932861328,219.5399932861328,223.58999633789065,223.58999633789065,26224100,0.0,0.0,0.0
2022-03-29,226.07000732421875,230.88999938964844,225.2899932861328,229.8600006103516,229.8600006103516,31417900,-0.0002,0.4215,-0.4215
2022-03-30,228.91000366210935,231.1499938964844,226.7100067138672,227.8500061035156,227.8500061035156,25588000,-0.1457,0.4019,-0.5574
2022-03-31,228.4499969482422,228.4900054931641,222.25999450683597,222.3600006103516,222.3600006103516,24192300,-0.0055,0.8126,-0.765
2022-04-01,224.5500030517578,227.27999877929688,222.6999969482422,224.8500061035156,224.8500061035156,19544800,0.0968,0.5574,-0.296
2022-04-04,225.97999572753903,234.3500061035156,225.8600006103516,233.88999938964844,233.88999938964844,28054800,0.0591,0.4215,-0.7506
2022-04-05,234.0800018310547,236.8600006103516,231.0200042724609,231.83999633789065,231.83999633789065,29727200,0.0899,0.5994,-0.4215
2022-04-06,226.91000366210935,228.9900054931641,221.41000366210935,223.3000030517578,223.3000030517578,28995100,0.0131,0.3182,-0.2263
2022-04-07,223.92999267578125,225.5200042724609,218.55999755859372,222.9499969482422,222.9499969482422,21037200,-0.0762,0.0,-0.4215
2022-04-08,222.3800048828125,225.1300048828125,220.02999877929688,222.3300018310547,222.3300018310547,18375700,0.0537,0.4588,-0.3182
2022-04-11,218.4199981689453,220.6100006103516,215.22000122070312,216.4600067138672,216.4600067138672,20516600,0.0844,0.5574,-0.5859
2022-04-12,220.2400054931641,222.02999877929688,213.1300048828125,214.13999938964844,214.13999938964844,20128800,0.0346,0.4767,-0.2732
2022-04-13,211.82000732421875,216.6100006103516,211.3300018310547,214.9900054931641,214.9900054931641,19231800,-0.053,0.5574,-0.4588
2022-04-14,214.88999938964844,214.9900054931641,210.0,210.17999267578125,210.17999267578125,18379500,0.0032,0.4019,-0.5574
2022-04-18,210.0,213.3800048828125,208.3000030517578,210.7700042724609,210.7700042724609,16580800,0.0929,0.5574,0.0
2022-04-19,210.5200042724609,218.42999267578125,209.0,217.30999755859372,217.30999755859372,20089900,0.0449,0.4019,-0.4767
2022-04-20,213.6100006103516,214.16000366210935,198.9199981689453,200.4199981689453,200.4199981689453,43036500,0.034,0.34,0.0
2022-04-21,201.6000061035156,202.97000122070312,185.5800018310547,188.07000732421875,188.07000732421875,49954100,-0.1742,0.6249,-0.7964
2022-04-22,190.3699951171875,192.72000122070312,183.2700042724609,184.1100006103516,184.1100006103516,36426800,-0.0258,0.4215,-0.5574
2022-04-25,182.72999572753903,187.17999267578125,181.66000366210935,186.9900054931641,186.9900054931641,29281100,0.0,0.0,0.0
2022-04-26,186.6300048828125,187.19000244140625,179.5,180.9499969482422,180.9499969482422,31747400,0.1633,0.6369,-0.1531
2022-04-27,174.42999267578125,181.2100067138672,169.0,174.9499969482422,174.9499969482422,71062900,0.0254,0.5423,-0.2924
2022-04-28,202.9199981689453,208.52999877929688,192.8999938964844,205.72999572753903,205.72999572753903,100890600,0.0446,0.7506,-0.5423
2022-04-29,204.4600067138672,212.47999572753903,199.8999938964844,200.47000122070312,200.47000122070312,49193400,-0.0934,0.3818,-0.5719
2022-05-02,201.1699981689453,211.8800048828125,200.9900054931641,211.1300048828125,211.1300048828125,49915300,-0.0564,0.4588,-0.5574
2022-05-03,210.4499969482422,214.8999938964844,208.08999633789065,212.02999877929688,212.02999877929688,41556300,-0.0202,0.0,-0.2023
